1,Toronto,Ontario,4263000
2,Montréal,Quebec,3327000
3,Vancouver,British Columbia,1832000
4,Ottawa,Ontario,1010000
5,Edmonton,Alberta,863000
6,Calgary,Alberta,822000
7,Quebéc,Quebec,672000
8,Winnipeg,Manitoba,667000
9,Hamilton,Ontario,624000
10,London,Ontario,399000
11,Kitchener,Ontario,383000
12,St Catharines-Niagara,Ontario,372000
13,Halifax,Nova Scotia,333000
14,Victoria,British Columbia,304000
15,Windsor,Ontario,279000
16,Oshawa,Ontario,269000
17,Saskatoon,Saskatchewan,219000
18,Regina,Saskatchewan,194000
19,St John's,Newfoundland,174000
20,Sudbury,Ontario,160000
21,Chicoutimi,Quebec,160000
22,Sherbrooke,Quebec,147000
23,Kingston,Ontario,143000
24,Trois-Rivières,Quebec,140000
25,Kelowna,British Columbia,137000
26,Abbotsford,British Columbia,136000
27,Saint John,New Brunswick,126000
28,Thunder Bay,Ontario,126000
29,Barrie,Ontario,119000
30,Sydney,Nova Scotia,118000
